id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source,address
ChZDSUhNMG9nS0VJQ0FnSURjeEltb0dREAE,,a day ago,2021-06-17 10:52:40.874775,5.0,Myron Murray,0,0,https://www.google.com/maps/contrib/106963393467631960444/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSUNxanR2QXJ3RRAB,"Every time I go in to buy things and count the money, the black woman has a very bad attitude and keeps ordering you. I am afraid of taking more things. I hate the black woman the most.",a week ago,2021-06-17 10:52:40.878723,1.0,kenan Edmond,0,0,https://www.google.com/maps/contrib/112535183277128764447/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSUNxdHRiV2pBRRAB,"Got in. Got out, got what we needed.",a week ago,2021-06-17 10:52:40.883725,5.0,Cynthia Manion,0,0,https://www.google.com/maps/contrib/103582945375828328093/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSUNxeXJ2UkNREAE,,2 weeks ago,2021-06-17 10:52:40.888764,1.0,Bill Malizia,0,0,https://www.google.com/maps/contrib/107060729070894756726/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSUNRNVppT0dnEAE,,2 weeks ago,2021-06-17 10:52:40.891726,5.0,Michael L Stekly,0,0,https://www.google.com/maps/contrib/105823797619268669596/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSUNxc3VhUVZREAE,I got more for my money for buying a deep freezer. The price was definitely in my  range.,2 weeks ago,2021-06-17 10:52:40.896725,5.0,Oscar Dunkins,0,0,https://www.google.com/maps/contrib/105244443927645218358/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSUNxX0liRUJREAE,Great.,2 weeks ago,2021-06-17 10:52:40.900760,4.0,"Daryl A. Mitchell, P.E.",0,0,https://www.google.com/maps/contrib/111406985732997412344/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSUNxdklYaXNRRRAB,Was good but busy today I never see so busy like today but is good I see ppl coming back,2 weeks ago,2021-06-17 10:52:40.904725,5.0,cancion48,0,0,https://www.google.com/maps/contrib/102717929923456519908/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSUNxN01iWkJREAE,Great!,2 weeks ago,2021-06-17 10:52:40.908725,5.0,Olivia Smith,0,0,https://www.google.com/maps/contrib/113163177747979956660/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSUNxc00tUEtBEAE,,3 weeks ago,2021-06-17 10:52:40.913725,5.0,Amando Hernandez,0,0,https://www.google.com/maps/contrib/107035165514933726246/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
